name,smiles
CHEMBL33259,O=C(O)C(Cc1ccccc1)Cc1c[nH]cn1
CHEMBL286373,O=NN(CCCl)C(=O)Oc1cncnc1
CHEMBL282701,O=C(OCCBr)c1cnccn1
CHEMBL277475,NC(C(=O)O)c1ccc(P(=O)(O)O)cc1
CHEMBL29184,NC(C(=O)O)c1cccc(P(=O)(O)O)c1
CHEMBL25599,O=C(O)Cc1cc2ccccc2nc1C(=O)O
CHEMBL22806,CC(=O)c1ccc2c(O)cc(C(=O)O)nc2c1
CHEMBL8992,O=C(O)C1=NN2C(=O)Nc3ccccc3C2C1
CHEMBL62329,Cc1cc(=O)n(CCC(=O)O)c2ccccc12
CHEMBL288437,CCn1cc(C(=O)O)c(=O)c2ccc(C)cc21
CHEMBL45013,C=CC1CN(c2ccc(C(C)=O)cc2)C(=O)O1
CHEMBL27040,NC(CS)CC1CCC(CC(=O)O)CC1
CHEMBL273594,CC1=NN(C(=O)Oc2ccccc2)C(C)N=N1
CHEMBL302067,Nc1ccc(CC(C(=O)O)c2c[nH]cn2)cn1
DAZOXIBEN,O=C(O)c1ccc(OCCn2ccnc2)cc1
CHEMBL33407,O=C(O)c1cccc(OCCn2ccnc2)c1
CHEMBL66284,CC(C)C(C(=O)NO)C(=O)NCCC(=O)O
NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
CHEMBL34386,C/C(=C/c1ccccc1)CN/N=C(\C)C(=O)O
CHEMBL286902,CCOC(=O)c1ccc(NCCCC#N)cc1
PIRMAGREL,O=C(O)CCCCCc1cccc2cncn12
CHEMBL72332,O=C(O)c1cc(C(=O)O)c2cccc(O)c2n1
CHEMBL65123,CN1C(=O)c2ccccc2C(CC(=O)O)C1=O
CHEMBL287485,O=C(O)CNS(=O)(=O)c1ccc(F)cc1
CHEMBL278097,O=C(O)CCc1c(C(=O)O)[nH]c2ccccc12
CHEMBL38168,CCOC(=O)/C(C#N)=C/c1ccc(O)c(O)c1
CHEMBL414185,COC(=O)c1ccccc1NCC1=NCCN1
CHEMBL9142,O=C(c1ccc2n1CCC2C(=O)O)C1CCC1
CHEMBL61035,O=C(O)c1cccc(C(=O)N2CCCCC2)c1
CHEMBL29367,CCOC(=O)c1ccc(N2CCCC2=O)cc1
